id,city,base_fare,charge_per_km,charge_per_min,night_charge,night_start_time,night_end_time,booking_fee,surge_boost_multiplier,,,
1,Mumbai,25,7,1,1.5,22,5,5,1,,,
2,Delhi,25,7,1,1.5,22,5,5,1,,,
3,Bangalore,25,7,1,1.5,22,5,5,1,,,
4,Hyderabad,25,7,1,1.5,22,5,5,1,,,
5,Ahmedabad,25,7,1,1.5,22,5,5,1,,,
6,Chennai,25,7,1,1.5,22,5,5,1,,,
7,Kolkata,25,7,1,1.5,22,5,5,1,,,
8,Surat,25,7,1,1.5,22,5,5,1,,,
9,Pune,25,7,1,1.5,22,5,5,1,,,
10,Jaipur,25,7,1,1.5,22,5,5,1,,,
11,Lucknow,25,7,1,1.5,22,5,5,1,,,
12,Kanpur,25,7,1,1.5,22,5,5,1,,,
13,Nagpur,25,7,1,1.5,22,5,5,1,,,
14,Indore,25,7,1,1.5,22,5,5,1,,,
15,Thane,25,7,1,1.5,22,5,5,1,,,
16,Bhopal,25,7,1,1.5,22,5,5,1,,,
17,Visakhapatnam,25,7,1,1.5,22,5,5,1,,,
18,Pimpri and Chinchwad,25,7,1,1.5,22,5,5,1,,,
19,Patna,25,7,1,1.5,22,5,5,1,,,
20,Vadodara,25,7,1,1.5,22,5,5,1,,,
21,Ghaziabad,25,7,1,1.5,22,5,5,1,,,
22,Ludhiana,25,7,1,1.5,22,5,5,1,,,
23,Agra,25,7,1,1.5,22,5,5,1,,,
24,Nashik,25,7,1,1.5,22,5,5,1,,,
25,Faridabad,25,7,1,1.5,22,5,5,1,,,
26,Meerut,25,7,1,1.5,22,5,5,1,,,
27,Rajkot,25,7,1,1.5,22,5,5,1,,,
28,Kalyan and Dombivali,25,7,1,1.5,22,5,5,1,,,
29,Vasai Virar,25,7,1,1.5,22,5,5,1,,,
30,Varanasi,25,7,1,1.5,22,5,5,1,,,
31,Srinagar,25,7,1,1.5,22,5,5,1,,,
32,Aurangabad,25,7,1,1.5,22,5,5,1,,,
33,Dhanbad,25,7,1,1.5,22,5,5,1,,,
34,Amritsar,25,7,1,1.5,22,5,5,1,,,
35,Navi Mumbai,25,7,1,1.5,22,5,5,1,,,
36,Allahabad,25,7,1,1.5,22,5,5,1,,,
37,Haora,25,7,1,1.5,22,5,5,1,,,
38,Ranchi,25,7,1,1.5,22,5,5,1,,,
39,Gwalior,25,7,1,1.5,22,5,5,1,,,
40,Jabalpur,25,7,1,1.5,22,5,5,1,,,
41,Coimbatore,25,7,1,1.5,22,5,5,1,,,
42,Vijayawada,25,7,1,1.5,22,5,5,1,,,
43,Jodhpur,25,7,1,1.5,22,5,5,1,,,
44,Madurai,25,7,1,1.5,22,5,5,1,,,
45,Raipur,25,7,1,1.5,22,5,5,1,,,
46,Kota,25,7,1,1.5,22,5,5,1,,,
47,Chandigarh,25,7,1,1.5,22,5,5,1,,,
48,Guwahati,25,7,1,1.5,22,5,5,1,,,
49,Solapur,25,7,1,1.5,22,5,5,1,,,
50,Hubli and Dharwad,25,7,1,1.5,22,5,5,1,,,
51,Bareilly,25,7,1,1.5,22,5,5,1,,,
52,Mysore,25,7,1,1.5,22,5,5,1,,,
53,Moradabad,25,7,1,1.5,22,5,5,1,,,
54,Gurgaon,25,7,1,1.5,22,5,5,1,,,
55,Aligarh,25,7,1,1.5,22,5,5,1,,,
56,Jalandhar,25,7,1,1.5,22,5,5,1,,,
